,depature_day,depature_time,depature_office,arrival_office,car_type,lead_time,unused
21584368,20190426,15,101,105,1,1014.0,
21635783,20190426,16,101,105,1,1222.0,
21686443,20190426,17,101,105,1,1380.0,
21735637,20190426,18,101,105,1,1561.0,
21783642,20190426,19,101,105,1,1662.0,
21827766,20190426,20,101,105,1,1628.0,
21866471,20190426,21,101,105,1,1378.0,
21900708,20190426,22,101,105,1,1168.0,
21928773,20190426,23,101,105,1,1013.0,
21956465,20190427,0,101,105,1,610.0,
21977098,20190427,1,101,105,1,612.0,
21993341,20190427,2,101,105,1,608.0,
22007293,20190427,3,101,105,1,601.0,
22020820,20190427,4,101,105,1,604.0,
22036770,20190427,5,101,105,1,613.0,
22061499,20190427,6,101,105,1,658.0,
22098187,20190427,7,101,105,1,747.0,
22142877,20190427,8,101,105,1,921.0,
22192735,20190427,9,101,105,1,1048.0,
22246822,20190427,10,101,105,1,1064.0,
22303885,20190427,11,101,105,1,1073.0,
22357378,20190427,12,101,105,1,1081.0,
22405411,20190427,13,101,105,1,1043.0,
22452024,20190427,14,101,105,1,1144.0,
22498911,20190427,15,101,105,1,1228.0,
22546777,20190427,16,101,105,1,1393.0,
22594742,20190427,17,101,105,1,1365.0,
22642848,20190427,18,101,105,1,1293.0,
22688760,20190427,19,101,105,1,1263.0,
22729215,20190427,20,101,105,1,1110.0,
22764097,20190427,21,101,105,1,996.0,
22794461,20190427,22,101,105,1,905.0,
22820257,20190427,23,101,105,1,835.0,
22843468,20190428,10,101,105,1,684.0,
